title,year,journal,country_focus,wos_times_cited,relevance_score
State budget transfers to Health Insurance to expand coverage to people outside formal sector work in Latin America,2017,BMC HEALTH SERVICES RESEARCH,Latin America,25,21
"Leaving no one behind? Reaching the informal sector, poor people and marginalised groups with Social Health Protection",2018,JOURNAL OF POVERTY AND SOCIAL JUSTICE,Multi-country,2,15
Integrating Venezuelan Migrants into the Colombian Health System during COVID-19,2022,HEALTH SYSTEMS \& REFORM,Colombia,20,14
Relationship between universal health insurance benefits and prostate cancer mortality in Colombia,2024,BMC PUBLIC HEALTH,Colombia,3,14
Family Planning in the Context of Latin America's Universal Health Coverage Agenda,2017,GLOBAL HEALTH-SCIENCE AND PRACTICE,Latin America,29,13
Healthcare access barriers for FARC ex-combatants in Colombia: qualitative perspectives from healthcare providers and FARC health promoters,2021,BMC PUBLIC HEALTH,Colombia,8,13
Price elasticity of demand for voluntary health insurance plans in Colombia,2022,BMC HEALTH SERVICES RESEARCH,Colombia,4,13
Health for all? A cost-utility evaluation of Colombia's policy to enroll Venezuelan migrants (2021-2023),2025,JOURNAL OF MIGRATION AND HEALTH,Colombia,0,13
The role of telemedicine in the context of the COVID-19 pandemic in Colombia,2025,FRONTIERS IN PUBLIC HEALTH,Colombia,0,13
Evolution of health coverage in Mexico: evidence of progress and challenges in the Mexican health system,2016,HEALTH POLICY AND PLANNING,Mexico,35,12
How does managed competition affect hospital prices in a social health insurance system? The Colombian case,2018,HEALTH POLICY AND PLANNING,Colombia,5,12
Barriers to Healthcare Access for Immigrants in Costa Rica and Uruguay,2023,JOURNAL OF INTERNATIONAL MIGRATION AND INTEGRATION,Multi-country,2,12
"Healthcare Trajectories of Adolescent Patients With Cleft Lip and/or Palate According to Health Insurance Coverage in Medellin, Colombia",2026,CLEFT PALATE CRANIOFACIAL JOURNAL,Colombia,0,12
Characterization of the population affiliated to the subsidized health insurance scheme in Colombia: a systematic review and meta-analysis,2023,INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH,Colombia,13,11
Ethnic-racial inequity in health insurance in Colombia: a cross-sectional study,2021,REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,Colombia,9,11
"Health insurance coverage in Mexico: progress, inequalities and remaining challenges towards UHC2030",2025,HEALTH RESEARCH POLICY AND SYSTEMS,Mexico,2,11
Access and unmet needs to multiple sclerosis care in a cohort of Argentinean patients,2019,MULTIPLE SCLEROSIS AND RELATED DISORDERS,Multi-country,26,10
Barriers to access and unmet needs to neuromyelitis optica spectrum disorders care in an Argentinean cohort,2023,MULTIPLE SCLEROSIS AND RELATED DISORDERS,Multi-country,17,10
Identifying the determinants of health insurance coverage among Peruvian women of reproductive age: an assessment based on the national Peruvian demographic survey of 2017,2020,INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH,Peru,9,10
Factors Associated with Unsuccessful Outcomes of Tuberculosis Treatment in 125 Municipalities in Colombia 2014 to 2016,2021,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,Colombia,8,10
"Identifying barriers to move to better health coverage: preferences for health insurance benefits among the rural poor population in La Guajira, Colombia",2016,INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,Colombia,4,10
Impact of the universal health insurance benefits on cervical cancer mortality in Colombia,2024,BMC HEALTH SERVICES RESEARCH,Colombia,2,10
"The Impact of Health Inequities on Population-Based Breast Cancer Survival in a Colombian Population, 2008-2015",2024,CANCER CONTROL,Colombia,2,10
Analysis of perceived satisfaction with health care provided to users of the emergency department in an oncology institution in Colombia,2023,REVISTA COLOMBIANA DE CANCEROLOGIA,Colombia,0,10
